partyLabel,firstName,lastName,birthdate,constituencyName,person_id,survivor
SPD,Wiebke,Papenbrock,1979,Prignitz – Ostprignitz-Ruppin – Havelland I,3a38e009-5ede-4b81-b038-eeb066d50f57,#N/A
SPD,Melanie,Wegling,1990,Groß-Gerau,ad7ad44e-c0ad-4a27-92a4-0c4db2ff8697,#N/A
CSU,Michael,Kießling,1973,Starnberg – Landsberg am Lech,0304ca84-b0e6-48a4-80a3-0054a2ca6907,#N/A
CSU,Alexander,Radwan,1964,Bad Tölz-Wolfratshausen – Miesbach,42b7414f-3e4d-4a15-88ce-8c8e8b47b37d,#N/A
CDU,Alexander,Throm,1968,Heilbronn,831875a9-547f-47a6-9759-a7dacc5bae6d,#N/A
CDU,Franziska,Hoppermann,1982,Hamburg,446ee3a0-f9ab-4dce-a69d-dc83639204b3,#N/A
CDU,Christoph,de Vries,1974,Hamburg,0bc556a0-65a4-4791-88dc-4068cbae190a,#N/A
CDU,Christoph,Ploß,1985,Hamburg,b3482093-d215-453b-be02-709e19c96d5f,#N/A
CSU,Jonas,Geissler,1984,Coburg,43ae14f9-4b87-4057-aab1-4d49e68c7505,#N/A
CDU,Christiane,Schenderlein,1981,Sachsen,1d740118-fb12-485a-acce-269c259010f2,#N/A
CDU,Marco,Wanderwitz,1975,Sachsen,22424dc1-1d8d-4209-8e49-fba98c6d2058,#N/A
CDU,Carsten,Körber,1979,Sachsen,f80e5dad-6f6a-4444-97e5-5a8241fbf2fd,#N/A
CDU,Stefan,Rouenhoff,1978,Kleve,fce60a6d-ad80-4c57-ae03-0d67666d96ae,#N/A
CDU,Gunther,Krichbaum,1964,Pforzheim,c6690ff7-3a6c-4d1b-a9e7-957521cfe71c,#N/A
CDU,Sepp,Müller,1989,Dessau – Wittenberg,aac6a082-9401-4228-818b-3af0bd7fc7e6,#N/A
CDU,Günter,Krings,1969,Mönchengladbach,0bfcd62e-b0e8-4d74-9b3b-5dfec4010427,#N/A
CDU,Maria-Lena,Weiss,1981,Rottweil – Tuttlingen,0222f3f8-a70e-419c-9eb1-e2e92cc3069b,#N/A
CDU,Florian,Müller,1987,Olpe – Märkischer Kreis I,911e2cac-f1ea-450b-8709-a00cf48f26da,#N/A
CDU,Olav,Gutting,1970,Bruchsal – Schwetzingen,a643ac1d-d69a-4d59-84ab-a3d57ef8cafa,#N/A
Grüne,Emilia,Fester,1998,Hamburg,188465fd-ceb6-4a0f-b231-05787fdac9aa,#N/A
Grüne,Katharina,Beck,1982,Hamburg,240cb66d-b74a-4872-9c18-d597b179fdc1,#N/A
Grüne,Kassem,Saleh,1993,Sachsen,9996c6aa-00c6-4501-97fe-54777a54369b,#N/A
Grüne,Paula,Piechotta,1986,Sachsen,c7319b35-efd9-494c-92db-4f4dc74fb1ea,#N/A
Grüne,Merle,Spellerberg,1996,Sachsen,57a8b1ad-f4ad-43e6-b729-1c9362407a0d,#N/A
Grüne,Bernhard,Herrmann,1966,Sachsen,56acc53d-57dc-4c1f-989d-0bf56de3ec9d,#N/A
Grüne,Sandra,Detzer,1980,Baden-Württemberg,5cfef7fe-bcc1-4a52-9ea7-454e95a3b13e,#N/A
Grüne,Harald,Ebner,1964,Baden-Württemberg,87ea37f4-1bf8-4acd-a6ba-c1550e6fbcad,#N/A
Grüne,Sebastian,Schäfer,1979,Baden-Württemberg,04f24902-afd6-40a0-b6b8-4203c7b9edaf,#N/A
Grüne,Beate,Müller-Gemmeke,1960,Baden-Württemberg,8839d2e9-f889-415f-8bc7-edeb5b1d03dc,#N/A
Grüne,Marcel,Emmerich,1991,Baden-Württemberg,66ddb03b-6455-4a9c-8fda-a0dfb35b170a,#N/A
FDP,Michael,Kruse,1983,Hamburg,6a729ebf-86bf-4232-890a-f1b264214d7f,#N/A
FDP,Ria,Schröder,1992,Hamburg,52faac97-46d5-458a-8d19-ae3ef13a7e44,#N/A
FDP,Torsten,Herbst,1973,Sachsen,002558ca-6a0c-48fa-a54b-b2b48e0e248b,#N/A
FDP,Ulrike,Harzer,1968,Sachsen,6d5e2d76-7d49-499f-8141-3abe413ab349,#N/A
FDP,Frank,Müller-Rosentritt,1982,Sachsen,76b6fe63-d15f-43f4-8598-e7f156e93d34,#N/A
FDP,Nico,Tippelt,1967,Sachsen,0d32a5d1-6b6a-4065-978d-91ab0376677f,#N/A
FDP,Philipp,Hartewig,1994,Sachsen,f5498743-2bed-4efe-914a-a8150105a599,#N/A
FDP,Judith,Skudelny,1975,Baden-Württemberg,bf81e384-6745-422e-966b-2b19b8aee860,#N/A
FDP,Christoph,Hoffmann,1957,Baden-Württemberg,5b783cdb-1d9f-4a72-b04d-45f730ca5adb,#N/A
AfD,Robert,Farle,1950,Mansfeld,547ea491-8999-4bbb-8acb-ad4d86bfd9bf,#N/A
AfD,Bernd,Baumann,1958,Hamburg,f78217da-d162-40ea-b452-678a34bec068,#N/A
AfD,Marc,Jongen,1968,Baden-Württemberg,1acdfa81-7d03-4e2c-a3a9-31de8b8b013b,#N/A
AfD,Jürgen,Braun,1961,Baden-Württemberg,0e6ef0c2-6c6c-42c0-96e3-56ac927f0163,#N/A
AfD,Alice,Weidel,1979,Baden-Württemberg,9dba9c7f-e6f5-4a4e-81f5-6ef588ea0fd8,#N/A
AfD,Martin,Hess,1971,Baden-Württemberg,fc3ea6e0-2a53-4197-a9db-914bd010e44b,#N/A
AfD,Malte,Kaufmann,1976,Baden-Württemberg,2460cdaa-35a8-4548-b256-0f3deba8ad8b,#N/A
Linke,Żaklin,Nastić,1980,Hamburg,61e4ab6c-f7a7-47fe-8cba-58dedf666fa5,#N/A
Linke,Caren,Lay,1972,Sachsen,dca54887-0754-49f5-a804-cfa8b1587d99,#N/A
Linke,André,Hahn,1963,Sachsen,353fed3c-c1af-42ef-b743-03044a8135a9,#N/A
SSW,Stefan,Seidler,1979,Schleswig-Holstein,70a54b1c-035f-444c-81d5-ba6c41e279d0,#N/A
SPD,Leni,Breymaier,1960,Baden-Württemberg,9fdb6446-b2ab-469d-8e81-0c4c2590ddfc,#N/A
SPD,Martin,Gerster,1971,Baden-Württemberg,e3a5569f-9fa7-4af0-8a50-493ab4dc966c,#N/A
SPD,Johannes,Fechner,1972,Baden-Württemberg,af9e9278-c513-4138-96bc-a7bc468d4a2d,#N/A
SPD,Saskia,Esken,1961,Baden-Württemberg,2aa02a71-ee56-40b2-b4a0-6922c0c6c288,#N/A
SPD,Derya,Türk-Nachbaur,1973,Baden-Württemberg,8098c63e-527d-4d1b-9c01-152b1354423e,#N/A
SPD,Kevin,Leiser,1993,Baden-Württemberg,d173c96f-d72e-4d96-9d5c-8a35b0ee2d06,#N/A
SPD,Katja,Mast,1971,Baden-Württemberg,57ccce36-3cb5-4894-bc70-5318e0f6ea7d,#N/A
SPD,Josip,Juratovic,1959,Baden-Württemberg,6ed9d0e1-db47-431e-96d9-b01f30a02e1f,#N/A
SPD,Rita,Schwarzelühr-Sutter,1962,Baden-Württemberg,d3153e40-a910-4cf0-b1af-bd4d5010bf9e,#N/A
SPD,Takis,Mehmet Ali,1991,Baden-Württemberg,a4a6ef59-80a8-4339-8a78-061125e17274,#N/A
SPD,Heike,Engelhardt,1961,Baden-Württemberg,9231f0f8-4766-424e-9787-5e5a3df8a649,#N/A
SPD,Jasmina,Hostert,1982,Baden-Württemberg,9aa9bc15-90cf-452d-9207-e52ffd29d4ab,#N/A
SPD,Robin,Mesarosch,1991,Baden-Württemberg,5bee81bc-df4e-41ca-9983-a057305f237b,#N/A
SPD,Macit,Karaahmetoǧlu,1968,Baden-Württemberg,39266afd-24c1-4abd-aa67-7eddc78f45c8,#N/A
SPD,Nils,Schmid,1973,Baden-Württemberg,1d23f181-d5ef-4c98-836f-afe23cb14c31,#N/A
SPD,Lars,Castellucci,1974,Baden-Württemberg,eb86ba82-4db7-4012-9217-3c06d3e150de,#N/A
SPD,Gabriele,Katzmarek,1960,Baden-Württemberg,0cae968d-dc56-4867-b4ba-08d16ae5e2be,#N/A
SPD,Parsa,Marvi,1982,Baden-Württemberg,a434214b-61be-44aa-a093-97afd097479f,#N/A
CDU,Dietrich,Monstadt,1957,Mecklenburg-Vorpommern,6feca9de-49cc-47e9-bbf8-2c053d7bc2a7,#N/A
CDU,Philipp,Amthor,1992,Mecklenburg-Vorpommern,79691f08-12df-493e-ad55-f89cb57100cc,#N/A
CDU,Simone,Borchardt,1967,Mecklenburg-Vorpommern,e8252882-e692-4e2e-95e8-25d29e2b7c60,#N/A
CDU,Marc,Biadacz,1979,Böblingen,171b0400-d991-4b7c-a2ef-11d446677580,#N/A
CSU,Alois,Rainer,1965,Straubing,0f2edafb-c3d9-4e0f-9c49-ff980eadd214,#N/A
CDU,Elisabeth,Winkelmeier-Becker,1962,Rhein-Sieg-Kreis I,366a8c4a-f4b4-4bd0-9d38-47f7f36bc4e1,#N/A
CSU,Hansjörg,Durz,1971,Augsburg-Land,1b2f953f-71a0-4a26-b732-8aae21f6091f,#N/A
CDU,Christina,Stumpp,1987,Waiblingen,d8de84f1-a9ae-423b-8e36-d9e4a70803b0,#N/A
CDU,Wolfgang,Schäuble,1942,Offenburg,8b15d57f-d27c-45ec-81c4-99fd5ff7f330,#N/A
CSU,Silke,Launert,1976,Bayreuth,6f221392-2246-4de5-b4c5-7853d32ecb7c,#N/A
CDU,Carsten,Linnemann,1977,Paderborn,eef0b827-a280-47ca-8ad1-9523eade75b4,#N/A
CSU,Katrin,Staffler,1981,Fürstenfeldbruck,3576d607-80d1-4b0e-a5da-832d123ba274,#N/A
CSU,Bernhard,Loos,1955,München-Nord,19055abd-9888-48a6-bc3d-89320cc7da6b,#N/A
CDU,Gitta,Connemann,1964,Unterems,fb3d8766-b49e-4a4e-945d-b965e6d933ba,#N/A
CSU,Albert,Rupprecht,1968,Weiden,0580d03f-febc-4198-8dba-79d5a751148e,#N/A
CSU,Hans-Peter,Friedrich,1957,Hof,570889a8-919c-4cd7-9a8d-e90905f8946c,#N/A
CDU,Michael,Brand,1973,Fulda,3bb09574-16c8-406f-b24b-8148d8b51d74,#N/A
Grüne,Christian,Kühn,1979,Baden-Württemberg,a572e8dd-dc39-4e53-adac-050c201a4b96,#N/A
Grüne,Stephanie,Aeffner,1976,Baden-Württemberg,22e9307d-df71-4eb2-a6c4-7daffee8204f,#N/A
Grüne,Anna,Christmann,1983,Baden-Württemberg,4d1e97b6-6196-4c33-8879-0a046b01fc77,#N/A
Grüne,Tobias,Bacherle,1994,Baden-Württemberg,03a0be5f-83fc-4227-b2a9-d12a9d7d6890,#N/A
Grüne,Ricarda,Lang,1994,Baden-Württemberg,9a390876-986a-428e-8883-e75a39ee047b,#N/A
Grüne,Melis,Sekmen,1993,Baden-Württemberg,08ee0030-d128-4a9c-9ab0-45147eb3e852,#N/A
Grüne,Anja,Reinalter,1970,Baden-Württemberg,e7a5a97f-04cd-4eaa-a929-f0fc562ddf2a,#N/A
Grüne,Matthias,Gastel,1970,Baden-Württemberg,bf8632b1-5e77-4f30-90c3-a46465e9eead,#N/A
Grüne,Agnieszka,Brugger,1985,Baden-Württemberg,1d85d982-c862-4d1d-adb9-107d666740cc,#N/A
Grüne,Claudia,Müller,1981,Mecklenburg-Vorpommern,d7cb0d02-efc7-4a73-ad57-70149204dfed,#N/A
FDP,Stephan,Seiter,1963,Baden-Württemberg,493df092-4f6b-433f-80be-21d60d75bc9c,#N/A
FDP,Claudia,Raffelhüschen,1968,Baden-Württemberg,49b678f9-60ce-4e8a-8a90-ec1ecd6b85e7,#N/A
FDP,Michael,Theurer,1967,Baden-Württemberg,86d62382-d2db-4d65-8ce9-d1e315d35323,#N/A
FDP,Renata,Alt,1965,Baden-Württemberg,b2cd85af-0ee3-4365-a006-57ec2fdf6123,#N/A
FDP,Pascal,Kober,1971,Baden-Württemberg,df6e6289-e032-4ff9-816c-17baa8e4480d,#N/A
FDP,Rainer,Semet,1957,Baden-Württemberg,f6a2577d-44a0-4c46-83e3-0cae9dabdfb7,#N/A
FDP,Valentin,Abel,1991,Baden-Württemberg,a952591c-dfd7-4cdc-913c-b20abc486551,#N/A
FDP,Benjamin,Strasser,1987,Baden-Württemberg,46c76d38-061c-4d48-a04c-d82c975e5a06,#N/A
AfD,Marc,Bernhard,1972,Baden-Württemberg,f32bab3f-edfb-457b-9ec1-f62423a83251,#N/A
AfD,Dirk,Spaniel,1971,Baden-Württemberg,1260a7f0-84bd-4b1f-b1d7-0a0227bd1212,#N/A
AfD,Markus-Cornel,Frohnmaier,1991,Baden-Württemberg,fcf4d64a-7f1e-425d-aa2a-0b9af7572153,#N/A
AfD,Christina,Baum,1956,Baden-Württemberg,09e12bf6-3750-4e88-b59d-52be21278b9b,#N/A
AfD,Thomas,Seitz,1967,Baden-Württemberg,1a0b7086-49a1-4c1f-86b3-8ad5567fd65a,#N/A
AfD,Ulrike,Schielke-Ziesing,1969,Mecklenburg-Vorpommern,4c00d218-bae8-403b-b137-565c60efa3cd,#N/A
AfD,Leif-Erik,Holm,1970,Mecklenburg-Vorpommern,5b07e764-cca4-4ff5-b2c1-7f5df07632a9,#N/A
Linke,Katja,Kipping,1978,Sachsen,34cca3c0-a91a-4c70-a9a4-de2d20923cb8,#N/A
Linke,Gökay,Akbulut,1982,Baden-Württemberg,2e66cecd-9eb5-475f-9eed-35264ef30db0,#N/A
Linke,Jessica,Tatti,1981,Baden-Württemberg,8c4f0d4f-80c2-4c82-b119-f3e90d0aad4e,#N/A
Linke,Bernd,Riexinger,1955,Baden-Württemberg,87bb5398-02fd-44df-ba2e-85142dd65ecc,#N/A
SPD,Heike,Baehrens,1955,Baden-Württemberg,f0636ad2-9252-45cb-bca8-7c43f999cd08,#N/A
SPD,Lina,Seitzl,1989,Baden-Württemberg,b9d8f6c0-6bd4-4f97-a776-e61422ea5224,#N/A
SPD,Martin,Rosemann,1976,Baden-Württemberg,4fafc9da-1de2-48e4-a0fb-ef7c911e816c,#N/A
SPD,Jakob,Blankenburg,1997,Lüchow-Dannenberg – Lüneburg,9bc2323c-0399-4224-af06-8b37b9b31aa3,#N/A
SPD,Daniel,Baldy,1994,Mainz,c6bc95bf-3583-4a4d-b67d-23653c12121f,#N/A
SPD,Matthias,Mieves,1985,Kaiserslautern,05a0891f-0e44-4c10-9f00-ea4807b02bfa,#N/A
SPD,Thomas,Hitschler,1982,Südpfalz,0223ee7c-8f56-428e-8cfd-3ed6f5bbfd1f,#N/A
SPD,Andreas,Larem,1964,Darmstadt,134076fa-e7f2-4904-b9f6-f603d4472675,#N/A
SPD,Franziska,Kersten,1968,Börde – Jerichower Land,45a16de7-b289-4afe-b6e4-cd7245f27e94,#N/A
SPD,Michael,Gerdes,1960,Bottrop – Recklinghausen III,88c4318b-d0c9-4be3-8aae-50f22e55616a,#N/A
SPD,Maja,Wallstein,1986,Cottbus – Spree-Neiße,d1f151f1-070d-47f5-93f7-9f31180106b7,#N/A
SPD,Claudia,Moll,1968,Aachen II,8a7f03d7-cddc-41ca-bcf2-c4394c9f7dae,#N/A
SPD,Olaf,Scholz,1958,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,8fe04953-6cb3-4c0b-b21b-58a478c20899,#N/A
SPD,Svenja,Stadler,1976,Harburg,f7c33a0e-8bd3-423d-8d3b-fd5cd439534b,#N/A
SPD,Esra-Leon,Limbacher,1989,Homburg,061bafee-e6a1-4188-a903-3ff049be236d,#N/A
SPD,Bettina,Hagedorn,1955,Ostholstein – Stormarn-Nord,e0a359a1-bdc5-4db2-9f7f-361128ef5d4a,#N/A
SPD,Jürgen,Berghahn,1960,Lippe I,54c47b72-3892-4d70-80dd-110a4d6d1d90,#N/A
CDU,Nicolas,Zippelius,1987,Karlsruhe-Land,e5b15d8a-263d-45fa-9fc4-ba6b093fb2d7,#N/A
CDU,Moritz,Oppelt,1989,Rhein-Neckar,5d782439-35b5-4015-8919-c7eac865dd31,#N/A
CSU,Sebastian,Brehm,1971,Nürnberg-Nord,dfe222fc-0b83-412c-9818-80f86f18e9cb,#N/A
CSU,Peter,Ramsauer,1954,Traunstein,a5647c87-5254-466b-ab90-2300e33f7dac,#N/A
CDU,Christian,von Stetten,1970,Schwäbisch Hall – Hohenlohe,ed2ca7bf-af83-4e73-bbfa-64133b16a62e,#N/A
CSU,Tobias,Winkler,1978,Fürth,83e9c4ad-c669-4dd2-934c-1f02c19b9986,#N/A
CDU,Ronja,Kemmer,1989,Ulm,f2bd8686-47b7-4a22-a8a4-eb10705735f7,#N/A
CDU,Jan,Metzler,1981,Worms,026408cd-5041-4e03-ac31-1b39087f57fc,#N/A
CDU,Petra,Nicolaisen,1965,Schleswig-Holstein,850d90df-c80f-4d96-8f3d-c21133bedf11,#N/A
CDU,Ingo,Gädechens,1960,Schleswig-Holstein,7cfb0d1d-3efc-4fbb-833e-e4fe6c0a5c54,#N/A
CDU,Gero,Storjohann,1958,Schleswig-Holstein,51086a86-ed38-4480-ac13-c36eff131d0f,#N/A
CDU,Johann,Wadephul,1963,Schleswig-Holstein,67eb7a16-97ea-46cc-9773-f93e94ec76bc,#N/A
CSU,Stefan,Müller,1975,Erlangen,f32e86d4-578b-4e33-8ee0-80a6a35ef1a8,#N/A
CDU,Anne,König,1984,Borken II,8a7033b4-0a01-4d76-9245-03a377408711,#N/A
CDU,Oliver,Grundmann,1971,Stade I – Rotenburg II,a327a774-9d58-4f85-875d-2bbb56c406d2,#N/A
CDU,Peter,Beyer,1970,Mettmann II,7a0dc1e9-b5a5-4ee5-a7a6-f14dbd2419d4,#N/A
Grüne,Konstantin,von Notz,1971,Schleswig-Holstein,809c68a4-7461-4c0d-ac5d-bedfa4c6ab06,#N/A
Grüne,Bruno,Hönel,1996,Schleswig-Holstein,6c6cc8a4-568d-4975-b023-7a257acbc12a,#N/A
Grüne,Luise,Amtsberg,1984,Schleswig-Holstein,fa27d193-6b0d-469d-bf77-59453c870281,#N/A
Grüne,Denise,Loop,1994,Schleswig-Holstein,d665ef14-77c8-480e-b40c-3372d5fa0555,#N/A
Grüne,Ingrid,Nestle,1977,Schleswig-Holstein,0be32b3b-9557-4188-bc56-953d49d749be,#N/A
Grüne,Omid,Nouripour,1975,Frankfurt am Main II,0ae4753f-8f5a-4f25-8609-2667a945275d,#N/A
Grüne,Maria,Klein-Schmeink,1958,Münster,3cca9f23-0159-484b-bc42-10cfd7845062,#N/A
Grüne,Franziska,Brantner,1979,Heidelberg,5d09a54f-4a39-42d0-9b35-3d6d89b9314b,#N/A
Grüne,Katja,Keul,1969,Niedersachsen,4b157409-1e14-4307-a8fd-2c48c83188f0,#N/A
Grüne,Filiz,Polat,1978,Niedersachsen,4cba68c9-3e12-4016-9ebe-60e7afb78941,#N/A
FDP,Martin,Gaßner-Herz,1985,Baden-Württemberg,0a5a1d08-cd1c-4891-978a-f8a9b25e1e00,#N/A
FDP,Florian,Toncar,1979,Baden-Württemberg,c53cea12-5957-42b2-ac25-972849168918,#N/A
FDP,Konrad,Stockmeier,1977,Baden-Württemberg,125d2aff-4cdd-4065-896a-7d3b3a81f79e,#N/A
FDP,Ann-Veruschka,Jurisch,1972,Baden-Württemberg,fbe473c7-6d9d-4c5b-a77c-277c9d9eb46e,#N/A
FDP,Michael,Link,1963,Baden-Württemberg,4b918039-eebc-4236-ba63-e0e914c2623e,#N/A
FDP,Jens,Brandenburg,1986,Baden-Württemberg,d7993325-a0db-4978-a58d-c2067abb619f,#N/A
FDP,Hagen,Reinhold,1978,Mecklenburg-Vorpommern,0d95d80a-49fe-4e77-a091-c2ef989aea50,#N/A
FDP,Maximilian,Mordhorst,1996,Schleswig-Holstein,dfcd9d40-6086-410a-86be-fc389eab20b2,#N/A
AfD,Enrico,Komning,1968,Mecklenburg-Vorpommern,afbc5877-408f-41f2-99a8-0c6afbdc1613,#N/A
AfD,Gereon,Bollmann,1953,Schleswig-Holstein,e4169146-db83-4e3d-bb23-41d9758508f0,#N/A
AfD,Uwe,Witt,1959,Schleswig-Holstein,3225eb76-f531-40f6-9181-529a8b808942,#N/A
AfD,Thomas,Dietz,1967,Erzgebirgskreis I,82af6060-1743-4a0f-8d48-9bc96b39c5cd,#N/A
AfD,Marcus,Bühl,1977,Gotha – Ilm-Kreis,f6978e2c-411d-4f25-9834-9d27e489582c,#N/A
AfD,Karsten,Hilse,1964,Bautzen I,d153ecf5-e4ae-4c10-94f2-c20458b581fe,#N/A
AfD,Tino,Chrupalla,1975,Görlitz,d8c13ca8-0d2a-4534-b3aa-ac9f218e71fd,#N/A
Linke,Dietmar,Bartsch,1958,Mecklenburg-Vorpommern,d10b6fb0-df84-405d-87af-6a6b5a8cc638,#N/A
Linke,Ina,Latendorf,1971,Mecklenburg-Vorpommern,5fd5956f-188e-4f69-a9a3-0bf316109f55,#N/A
Linke,Cornelia,Möhring,1960,Schleswig-Holstein,bc9a305d-ab86-4b54-8a44-c1caff8e42dc,#N/A
SPD,Herbert,Wollmann,1951,Altmark,2a27946f-694a-4a21-9f68-bf2f6c537f39,#N/A
SPD,Mahmut,Özdemir,1987,Duisburg II,6056bbad-a264-46b1-b137-bb1b711b6b7e,#N/A
SPD,Dagmar,Schmidt,1973,Lahn-Dill,627170c7-2237-4587-b907-59cbb9291712,#N/A
SPD,Christian,Schreider,1971,Ludwigshafen/Frankenthal,72fc8ad1-948e-4787-bf34-0fb73c295407,#N/A
SPD,Bernd,Westphal,1960,Hildesheim,15ed1a0c-a2b2-44db-9ff0-208ed03c3e45,#N/A
SPD,Johann,Saathoff,1967,Aurich – Emden,e8067761-8acc-4a6f-9e13-ac712d8737f3,#N/A
SPD,Frauke,Heiligenstadt,1966,Goslar – Northeim – Osterode,de9d9bc8-1626-4f11-b5ca-188306b3f595,#N/A
SPD,Uwe,Schmidt,1966,Bremen II – Bremerhaven,51fad4e6-8b7f-433a-bb71-637347bc12fe,#N/A
SPD,Martin,Kröber,1992,Magdeburg,0b734b3f-e3bd-4ca1-b001-40de72638abc,#N/A
SPD,Stefan,Zierke,1970,Uckermark – Barnim I,dc6aa0f1-8807-4147-bdfd-cbbe3ae5492f,#N/A
SPD,Sylvia,Lehmann,1954,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,ca412baa-3fc9-4545-b4da-8d5d7358478f,#N/A
SPD,Inaki,Echeverria,1980,Ennepe-Ruhr-Kreis II,a76cc92c-124f-4e6a-ae8a-9a862a8162e8,#N/A
SPD,Dorothee,Martin,1978,Hamburg-Nord,a0d50413-2121-474d-9457-13dcc072e66d,#N/A
SPD,Nina,Scheer,1971,Herzogtum Lauenburg – Stormarn-Süd,39d65b92-10c5-4299-a424-2efd52a22545,#N/A
SPD,Karamba,Diaby,1961,Halle,d524d23e-6da7-4c90-8981-fa0eb9c540e2,#N/A
SPD,Jan,Oehl,1993,Hanau,5ecf5c5e-322c-4576-b153-1152282192b0,#N/A
CSU,Daniela,Ludwig,1975,Rosenheim,7d3ac1e0-6c7b-4229-9ece-70390e4a7406,#N/A
CSU,Thomas,Silberhorn,1968,Bamberg,fbc3e93d-38a0-417e-9604-83ecd59d33ab,#N/A
CDU,Joachim-Friedrich,Merz,1955,Hochsauerlandkreis,d43ef1b3-1be7-41ec-93e8-da8043db8fbb,#N/A
CSU,Stephan,Pilsinger,1987,München-West/Mitte,16d8a716-5699-46dd-897e-61e4e9229587,#N/A
CDU,Thomas,Heilmann,1964,Berlin-Steglitz-Zehlendorf,dac48c3d-3266-453f-9828-567b69f53c2f,#N/A
CDU,Paul,Ziemiak,1985,Märkischer Kreis II,53a2368c-a683-4732-b8dc-7468a481ce10,#N/A
CSU,Anja,Weisgerber,1976,Schweinfurt,e87fe616-f861-4b14-a2e2-6841c2240cfd,#N/A
CDU,Erwin,Rüddel,1955,Neuwied,796e8690-472d-42fb-b396-a84429bc5634,#N/A
CDU,Mark,Helfrich,1978,Steinburg – Dithmarschen Süd,afc292e3-c064-47c7-bfea-49185e35bb90,#N/A
CDU,Silvia,Breher,1973,Cloppenburg – Vechta,00647197-dcf4-4200-a4b9-ff0e83922c55,#N/A
CDU,Marlon,Bröhr,1974,Mosel/Rhein-Hunsrück,6d668289-9bf8-499e-8e99-69bee03215f7,#N/A
CDU,André,Berghegger,1972,Osnabrück-Land,f4a98e6f-3afa-4232-83e0-a33f7d099c94,#N/A
CDU,Monika,Grütters,1962,Berlin-Reinickendorf,f28019cd-679e-4595-891d-ecb118475999,#N/A
CDU,Carsten,Müller,1970,Niedersachsen,466b776f-d834-437b-b229-2bd6193e08ff,#N/A
CDU,Michael,Grosse-Brömer,1960,Niedersachsen,3a3d1ce9-2bce-49af-8870-a410a42381d0,#N/A
CDU,Tilman,Kuban,1987,Niedersachsen,92c6c1d5-62c5-4a21-b18b-5ca87d020fb8,#N/A
Grüne,Jürgen,Trittin,1954,Niedersachsen,df9e4f10-befd-492f-aab1-02008a8cf6e5,#N/A
Grüne,Peer,Wenzel,1962,Niedersachsen,ef89bd10-af91-4f30-b4ab-75083100b02b,#N/A
Grüne,Sven-Christian,Kindler,1985,Niedersachsen,915265ee-d2b6-4147-bfd5-1c67344bf7b9,#N/A
Grüne,Christina-Johanne,Schröder,1983,Niedersachsen,dd12d3b2-0324-4719-ba20-3afe63f5545b,#N/A
Grüne,Swantje,Michaelsen,1979,Niedersachsen,b8a2c862-9827-488f-9b91-03e5368ae525,#N/A
Grüne,Julian,Pahlke,1991,Niedersachsen,6251988b-f30c-449a-a70b-2d9237d5f4d4,#N/A
Grüne,Julia,Verlinden,1979,Niedersachsen,e46639b8-5796-432d-8ad6-66809a4faadf,#N/A
Grüne,Helge,Limburg,1982,Niedersachsen,5dbe29f8-249f-457e-8aff-3bcc8343254b,#N/A
Grüne,Patrizia,Menge,1960,Niedersachsen,ce9b844f-672c-4df9-8dc5-818bcc1ae47d,#N/A
