,partyLabel,firstName,lastName,birthdate,constituencyName,person_id,survivor,Name
566,AfD,Götz,Frömming,1968,Berlin,4dd4174a-8256-4cf1-b9ce-c4370931e92e,,"Frömming, Götz"
568,AfD,Albrecht,Glaser,1942,Hessen,b4b5b638-7d9a-43b8-a6d9-f30083022302,,"Glaser, Albrecht"
573,SPD,Hannes,Walter,1984,Elbe-Elster – Oberspreewald-Lausitz II,92a2fbfb-ac05-4c2e-a1db-4bc13f220020,,"Walter, Hannes"
584,CDU,Hubert,Hüppe,1956,Nordrhein-Westfalen,678bf974-95d2-4549-9203-42a1da35d8b8,,"Hüppe, Hubert"
585,CDU,Jürgen,Hardt,1963,Nordrhein-Westfalen,09741160-6435-4da4-9847-99ec716f7527,,"Hardt, Jürgen"
586,CDU,Oliver,Vogt,1977,Nordrhein-Westfalen,ff0aa538-526d-4de5-98b1-3422b8fe11a7,,"Vogt, Oliver"
591,Grüne,Sabine,Grützmacher,1986,Nordrhein-Westfalen,434f2337-b02f-4362-87d8-fec203251660,,"Grützmacher, Sabine"
608,SPD,Luiza,Licina-Bode,1972,Nordrhein-Westfalen,734cd484-943a-4c3d-ab4f-e7d7e27cc839,,"Licina-Bode, Luiza"
609,SPD,Zanda,Martens,1984,Nordrhein-Westfalen,973a23c1-52b7-42c0-86ee-17b89e3adf17,,"Martens, Zanda"
612,SPD,Ye-One,Rhie,1987,Nordrhein-Westfalen,ca0c8dd4-584d-4d62-8f69-4df4f68fcef7,,"Rhie, Ye-One"
614,SPD,Sarah,Lahrkamp,1981,Nordrhein-Westfalen,b8134dcb-f8d3-448b-aaf6-1f25c9ded758,,"Lahrkamp, Sarah"
615,CDU,Kerstin,Radomski,1974,Nordrhein-Westfalen,bc18f57b-bdaa-4c84-b62a-5798d635fbda,,"Radomski, Kerstin"
623,CDU,Maximilian,Mörseburg,1992,Stuttgart II,a01f7fca-3c73-43ed-9f1f-cf861c121f79,,"Mörseburg, Maximilian"
632,FDP,Manfred,Todtenhausen,1950,Nordrhein-Westfalen,a61a8573-8d0e-4192-bca0-b803c23c57b6,,"Todtenhausen, Manfred"
642,SPD,Jürgen,Coße,1969,Nordrhein-Westfalen,5c90a9af-ac4c-4983-9148-5d1c05377826,,"Coße, Jürgen"
645,SPD,Nezahat,Baradari,1965,Nordrhein-Westfalen,3d6d1c01-5994-44f4-8ee6-1bbacbd498c4,,"Baradari, Nezahat"
650,CSU,Mechthilde,Wittmann,1967,Oberallgäu,1549bbd7-b7cc-4b49-89e4-f10638d28717,,"Wittmann, Mechthilde"
655,Grüne,Michael,Sacher,1964,Nordrhein-Westfalen,705ff23d-08f7-4fb2-8342-380d91336cfa,,"Sacher, Michael"
657,Grüne,Lukas,Benner,1996,Nordrhein-Westfalen,32422ec0-ab97-4903-ad9d-affa64c81cca,,"Benner, Lukas"
659,FDP,Jens,Teutrine,1993,Nordrhein-Westfalen,202df363-7bdf-4222-8579-3042e1a1a559,,"Teutrine, Jens"
669,SPD,Ariane,Fäscher,1968,Oberhavel – Havelland II,b5d0257b-5de6-4717-832d-bd52cc92ffbe,,"Fäscher, Ariane"
674,CSU,Andreas,Scheuer,1974,Passau,21ebdc51-8e80-407a-b535-af3638d8fcec,,"Scheuer, Andreas"
690,AfD,Stefan,Keuter,1972,Nordrhein-Westfalen,960a622c-e3f5-49ab-984c-0da3fd88b318,,"Keuter, Stefan"
698,SPD,Jens,Stein,1970,Kiel,cb894d6d-2b5a-4355-814e-07aca6bf65dc,,"Stein, Jens"
699,SPD,Tina,Rudolph,1991,Thüringen,d15f98e6-8f91-45d5-b648-6a2a09a8a819,,"Rudolph, Tina"
703,CSU,Michael,Frieser,1964,Nürnberg-Süd,f4858d20-5846-408f-a55a-bbdbdf09a360,,"Frieser, Michael"
705,CDU,Steffen,Bilger,1979,Ludwigsburg,35cda3e5-bc26-4ba5-9aac-867d3645a444,,"Bilger, Steffen"
706,Grüne,Anja,Liebert,1969,Nordrhein-Westfalen,d01eb626-c667-4290-8b9f-16a0569c7f34,,"Liebert, Anja"
735,Linke,Martina,Renner,1967,Thüringen,bd18c39c-dd15-4356-a5e1-f4bfe1489f45,,"Renner, Martina"
