"Name, Vornamen",Geburts­jahr,Partei,kandidiert im/für,ausgeschieden
"Ahnefeld, Andreas",1984,CDU,Land Niedersachsen (Platz 59),
"Ahnemüller, Jens",1961,UNABHÄNGIGE,Wahlkreis 203,
"Ahrends, Jens",1960,LKR,Wahlkreis 027,
"Ahrens, Karlotta",1987,ÖDP,"Wahlkreis 019
    und 
    Land Hamburg (Platz 2)",
"Ahrens, Melanie Anna",1988,LKR,Land Bayern (Platz 10),
"Aicher, Julian",1958,dieBasis,Wahlkreis 294,
"Aiwanger, Hubert",1971,FREIE WÄHLER,Land Bayern (Platz 1),
"Akbulut, Cetin",1972,FDP,Land Hamburg (Platz 4),
"Akbulut, Gökay",1982,DIE LINKE,"Wahlkreis 275
    und 
    Land Baden-Württemberg (Platz 2)",
"Akhtar, Asif",1981,Team Todenhöfer,Land Hessen (Platz 16),
"Akhtar, Khurrem",1977,Team Todenhöfer,Land Hessen (Platz 1),
"Akkamis, Gökhan",1997,FDP,"Wahlkreis 055
    und 
    Land Bremen (Platz 3)",
"Dr. Akman, Kemal",1979,Gesundheitsforschung,Land Bayern (Platz 3),
"Aktürk, Erhan",1965,MLPD,"Wahlkreis 117
    und 
    Land Nordrhein-Westfalen (Platz 2)",
"Al Basri, Saif",1989,Gesundheitsforschung,Land Nordrhein-Westfalen (Platz 2),
"Alabali-Radovan, Reem",1990,SPD,"Wahlkreis 012
    und 
    Land Mecklenburg-Vorpommern (Platz 6)",
"Albani, Stephan Theodor Johannes",1968,CDU,"Wahlkreis 027
    und 
    Land Niedersachsen (Platz 11)",
"Albers, Friedrich-Bernd",1969,DIE LINKE,Wahlkreis 024,
"Albers, Hagen Gerwald",1982,ÖDP,Wahlkreis 083,
"Albert, Julia Friederike",1990,CDU,Land Saarland (Platz 6),
"Albert, Karl Joachim",1958,FREIE WÄHLER,Land Rheinland-Pfalz (Platz 34),
"Albrecht, Birgit",1965,AfD,Land Sachsen-Anhalt (Platz 6),
"Prof. Albrecht, Erich Willy",1950,AfD,Wahlkreis 180,
"Albrecht, Jutta",1961,CDU,Land Rheinland-Pfalz (Platz 24),
"Albrecht, Philipp Josef Erich",1995,CDU,"Wahlkreis 028
    und 
    Land Niedersachsen (Platz 26)",
"Albrecht, Roman",1992,dieBasis,"Wahlkreis 255
    und 
    Land Bayern (Platz 43)",
"Al-Dailami, Ali Abass Yahya",1981,DIE LINKE,"Wahlkreis 173
    und 
    Land Hessen (Platz 2)",
"Aldemir, Aziz",1970,DIE LINKE,Wahlkreis 198,
"Aldenhoven, Christina Flora",1983,ÖDP,Land Nordrhein-Westfalen (Platz 11),
"Aldinger, Brigitte",1965,dieBasis,"Wahlkreis 264
    und 
    Land Baden-Württemberg (Platz 12)",
"Alesik, Nicole",1994,CSU,Land Bayern (Platz 64),
"Al-Halak, Muhanad",1989,FDP,"Wahlkreis 227
    und 
    Land Bayern (Platz 14)",
"Ali, Nemir",1996,FDP,"Wahlkreis 039
    und 
    Land Niedersachsen (Platz 16)",
"Ali, Samer",1991,DiB,Land Baden-Württemberg (Platz 6),
"Al-Qura'an, Anas",2003,GRÜNE,Land Nordrhein-Westfalen (Platz 42),
"Dr. Alscher, Bernhard Rudolf Paul",1957,FREIE WÄHLER,Land Rheinland-Pfalz (Platz 35),
"Alscher, Sebastian",1976,PIRATEN,Land Hessen (Platz 1),
"Alsdorf, Georg",1975,FREIE WÄHLER,"Wahlkreis 111
    und 
    Land Nordrhein-Westfalen (Platz 2)",
"Alster, Jannik",1998,LKR,Land Schleswig-Holstein (Platz 4),
"Alt, Julia Emilie",1998,CDU,Land Baden-Württemberg (Platz 31),
"Alt, Renata",1965,FDP,"Wahlkreis 262
    und 
    Land Baden-Württemberg (Platz 7)",
"Altay, Cengiz",1986,Team Todenhöfer,Land Schleswig-Holstein (Platz 3),
"Altenhöner, Freya",1988,SPD,"Wahlkreis 251
    und 
    Land Bayern (Platz 30)",
"Altenkamp, Norbert Maria",1972,CDU,"Wahlkreis 181
    und 
    Land Hessen (Platz 16)",
"Altenschmidt, Mark",1977,FREIE WÄHLER,Wahlkreis 116,
"Altgeld, Marianne",1988,FREIE WÄHLER,"Wahlkreis 197
    und 
    Land Rheinland-Pfalz (Platz 1)",
"Althaus, Thorsten",1969,AfD,Wahlkreis 040,
"Altherr, Florian",1981,PIRATEN,Land Rheinland-Pfalz (Platz 8),
"Althoff, Anke",1963,dieBasis,"Wahlkreis 160
    und 
    Land Sachsen (Platz 2)",
"Altmaier, Peter",1958,CDU,"Wahlkreis 297
    und 
    Land Saarland (Platz 2)",TRUE
"Altmann, Werner",1949,DKP,Land Baden-Württemberg (Platz 9),
"Al-Wattar, Ibrahim",1982,du.,Land Schleswig-Holstein (Platz 1),
"Amann, Harold",1967,BP,Land Bayern (Platz 6),
"Amann, Jakob",1999,Team Todenhöfer,Land Bayern (Platz 13),
"Amidzic, Radisa",1978,dieBasis,Wahlkreis 133,
"Amthor, Philipp",1992,CDU,"Wahlkreis 016
    und 
    Land Mecklenburg-Vorpommern (Platz 1)",
"Amtmann, Julia Katharina Elisabeth",1994,Volt,"Wahlkreis 217
    und 
    Land Bayern (Platz 11)",
"Amtsberg, Luise",1984,GRÜNE,"Wahlkreis 005
    und 
    Land Schleswig-Holstein (Platz 1)",
"Anastasiadis, Christoph Georgios",1995,FDP,"Wahlkreis 001
    und 
    Land Schleswig-Holstein (Platz 6)",
"Anders, Bernd",1970,LKR,Land Hamburg (Platz 5),
"Andersen, Merle",1995,Die PARTEI,Wahlkreis 054,
"Anders-Granitzki, Manuela",1978,CDU,Wahlkreis 076,
"Andiel, Matthias",1958,FREIE WÄHLER,"Wahlkreis 016
    und 
    Land Mecklenburg-Vorpommern (Platz 3)",
"Andrä, Christian Thomas",1962,GRÜNE,"Wahlkreis 090
    und 
    Land Nordrhein-Westfalen (Platz 46)",
"Andrejewski, Michael",1959,NPD,Land Mecklenburg-Vorpommern (Platz 1),
"Andres, Dagmar",1969,SPD,"Wahlkreis 092
    und 
    Land Nordrhein-Westfalen (Platz 18)",
"Andrione, Natalie",1988,dieBasis,Land Bayern (Platz 30),
"Andris, Lena",1999,Die Humanisten,Land Baden-Württemberg (Platz 5),
"Angermann, Daniel",1992,Die PARTEI,Land Hessen (Platz 51),
"Angerstein, Nicole",1973,Gartenpartei,Land Sachsen-Anhalt (Platz 3),
"Anhalt, Markus",1986,Tierschutzpartei,Wahlkreis 084,
"Annan, Tarek",1986,GRÜNE,Land Berlin (Platz 20),
"Annen, Niels",1973,SPD,"Wahlkreis 020
    und 
    Land Hamburg (Platz 2)",
"Annunziata, Emanuele Ferdinando Michael",2001,Die PARTEI,Wahlkreis 265,
"Anschütz, Elisabeth Gertrud",1962,GRÜNE,"Wahlkreis 097
    und 
    Land Nordrhein-Westfalen (Platz 45)",
"Antary, Frederik Paul",1996,GRÜNE,Land Nordrhein-Westfalen (Platz 80),
"Dr. Anton, Andreas",1983,FDP,"Wahlkreis 285
    und 
    Land Baden-Württemberg (Platz 33)",
"Anton, Sascha David",2000,FDP,Land Bayern (Platz 70),
"Antpöhler-Zwiernik, Oliver",1986,DIE LINKE,Wahlkreis 199,
"Apel, Dominik Markus",1994,CDU,Land Baden-Württemberg (Platz 23),
"Apelt, Harry Gerolf Marc",1983,Volt,Land Hamburg (Platz 10),
"Appel, Werner",1934,Bündnis C,Land Hessen (Platz 21),
"Appuhn, Svenja Vivien",1997,GRÜNE,Land Niedersachsen (Platz 33),
"Araki, Chaker Anis",1972,MLPD,"Wahlkreis 083
    und 
    Land Berlin (Platz 2)",
"Aranea Guillén, Mona",1986,dieBasis,Wahlkreis 109,
"Araz, Cansu",1990,Team Todenhöfer,Land Bremen (Platz 9),
"Arbeck, Kathrin",1969,FREIE WÄHLER,"Wahlkreis 007
    und 
    Land Schleswig-Holstein (Platz 5)",
"Arbid, Ali Alreda",1991,Team Todenhöfer,Land Berlin (Platz 13),
"Archner, Roman",1980,Die PARTEI,Land Berlin (Platz 45),
"Arefi Fard, Aresch",1991,Team Todenhöfer,Land Niedersachsen (Platz 4),
"Arendt, Dirk",1976,NPD,Land Mecklenburg-Vorpommern (Platz 2),
"Arenz, Udo Peter",1964,ÖDP,Land Hessen (Platz 6),
"Dr. Ariatabar, Parisa",1987,GRÜNE,Land Nordrhein-Westfalen (Platz 50),
"Arlaud, Leah Esther",1997,Volt,Land Thüringen (Platz 3),
"Arlt, Günter",1952,FREIE WÄHLER,Wahlkreis 137,
"Arlt, Johannes",1984,SPD,"Wahlkreis 017
    und 
    Land Mecklenburg-Vorpommern (Platz 5)",
"Arlt, Philipp",2000,Die Humanisten,Land Sachsen (Platz 4),
"Armaschelew, Nelli",1994,Die PARTEI,Land Nordrhein-Westfalen (Platz 55),
"Armbrüster, Ralf",1970,FDP,Wahlkreis 299,
"Armster, Christian Friederich",1969,Die PARTEI,"Wahlkreis 257
    und 
    Land Bayern (Platz 58)",
"Armstroff, Cindy",1997,Team Todenhöfer,Land Baden-Württemberg (Platz 9),
"Arndt, Alfred Jakob",1949,DKP,Land Hessen (Platz 17),
"Arndt, Hans Gerd",1957,FREIE WÄHLER,"Wahlkreis 207
    und 
    Land Rheinland-Pfalz (Platz 8)",
"Arndt, Klaus Joachim",1966,ÖDP,Wahlkreis 050,
"Arndt, Lukas",1996,Volt,Land Niedersachsen (Platz 13),
"Arnecke, Dagmar",1951,MLPD,Wahlkreis 086,
"Arning, René",1991,FDP,"Wahlkreis 127
    und 
    Land Nordrhein-Westfalen (Platz 50)",
"Arnold, Bendrick",1946,MLPD,"Wahlkreis 247
    und 
    Land Bayern (Platz 21)",
"Arnold, Dieter",1973,AfD,Wahlkreis 233,
"Arnold, Domenic",1997,FREIE WÄHLER,Wahlkreis 277,
"Arnold, Jörg Manfred",1965,FREIE WÄHLER,"Wahlkreis 057
    und 
    Land Brandenburg (Platz 1)",
"Arnold, Lars Clemens",1968,ÖDP,"Wahlkreis 080
    und 
    Land Berlin (Platz 1)",
"Arpaz, Selin Ece",1999,SPD,Land Bremen (Platz 3),
"Arps, Bastian",1989,Die PARTEI,Land Nordrhein-Westfalen (Platz 35),
"Arslan, Kübra",1984,Team Todenhöfer,Land Nordrhein-Westfalen (Platz 11),
"Arweiler, Jörg",1974,PIRATEN,Land Saarland (Platz 3),
"Arz, Christoph",1996,GRÜNE,"Wahlkreis 212
    und 
    Land Bayern (Platz 52)",
"Arzt, Ilona Lydia",1964,dieBasis,Land Hessen (Platz 18),
"Asafu-Adjei, Nana Asantewa",1977,du.,Land Hamburg (Platz 1),
"Asbach, Klaus Dieter",1964,dieBasis,Wahlkreis 197,
"Aschenberg-Dugnus, Christine Irene",1959,FDP,"Wahlkreis 004
    und 
    Land Schleswig-Holstein (Platz 3)",
"Aschenbrenner, Arnold",1951,MLPD,Land Bayern (Platz 15),
"Asi, Ferhat",1992,FDP,"Wahlkreis 025
    und 
    Land Niedersachsen (Platz 22)",
"Aslan, Özenç",1982,Team Todenhöfer,Land Rheinland-Pfalz (Platz 1),
"Aslanoǧlu, Ferhat",1974,Team Todenhöfer,Land Baden-Württemberg (Platz 6),
"Asmus, Sven",1976,ASMUSfddB,Wahlkreis 151,
"Assel, Dietmar Rudolf",1966,dieBasis,"Wahlkreis 235
    und 
    Land Bayern (Platz 12)",
"Dr. Aßmann, Barbara",1966,CDU,Land Nordrhein-Westfalen (Platz 52),
"Assmann, Hermann Josef",1977,Die PARTEI,Land Bremen (Platz 20),
"von Aswegen, Wilfried",1956,dieBasis,Land Brandenburg (Platz 1),
"Ateia, Jasmin",1982,GRÜNE,Land Baden-Württemberg (Platz 40),
"Ates, Zeki",1962,MLPD,"Wahlkreis 282
    und 
    Land Baden-Württemberg (Platz 14)",
"Audretsch, Andreas",1984,GRÜNE,"Wahlkreis 082
    und 
    Land Berlin (Platz 4)",
"Auer, Stefanie Maria",1986,GRÜNE,"Wahlkreis 229
    und 
    Land Bayern (Platz 33)",
"Auerhahn, Anna-Maria",1996,CSU,Land Bayern (Platz 34),
"Auernhammer, Artur",1963,CSU,Wahlkreis 241,
"Aufenanger, Michael",1976,CDU,"Wahlkreis 168
    und 
    Land Hessen (Platz 18)",
"Aufmkolk, Helga",1959,dieBasis,Wahlkreis 100,
"Aulenbacher, Susanne Krimhilde",1958,MLPD,Land Saarland (Platz 2),
"Aumer, Peter",1976,CSU,Wahlkreis 233,
"Außendorf, Maik",1971,GRÜNE,"Wahlkreis 100
    und 
    Land Nordrhein-Westfalen (Platz 18)",
"Austermann, Georg Hans-Ludwig Maria",1966,ÖDP,Wahlkreis 272,
"Averbeck, Petra",1959,CDU,Land Niedersachsen (Platz 49),
"Avetisyan, Narek Avetisi",1987,Die Humanisten,Land Thüringen (Platz 1),
"Ayar, Melek",1996,Team Todenhöfer,Land Nordrhein-Westfalen (Platz 7),
"Aydin, Tufan",1988,MLPD,"Wahlkreis 183
    und 
    Land Hessen (Platz 5)",
"Azbak, Sahin",1968,MENSCHLICHE WELT,Wahlkreis 081,
"Dr. Babendererde, Cornell-Anette",1971,CDU,Land Niedersachsen (Platz 62),
"Babenhauserheide, Maik",1975,GRÜNE,"Wahlkreis 133
    und 
    Land Nordrhein-Westfalen (Platz 40)",
"Babic, Safet",1981,NPD,Land Rheinland-Pfalz (Platz 3),
"Bach, Jorias",1998,FDP,"Wahlkreis 169
    und 
    Land Hessen (Platz 17)",
"Bach, Sebastian Freimund",1982,DIE LINKE,Land Thüringen (Platz 9),
"Bachem, Wilfried",1961,LKR,Land Nordrhein-Westfalen (Platz 8),
"Bacherle, Tobias Björn",1994,GRÜNE,"Wahlkreis 260
    und 
    Land Baden-Württemberg (Platz 13)",
"Bachmann, Carolin",1988,AfD,Wahlkreis 161,
"Bachmann, Sophie",1988,DIE LINKE,Land Schleswig-Holstein (Platz 5),
"Bachmann, Susanne",1966,dieBasis,Wahlkreis 106,
"Bachmann, Sven Wilhelm",1975,FDP,"Wahlkreis 236
    und 
    Land Bayern (Platz 54)",
"Bachmann, Uwe",1963,dieBasis,Land Rheinland-Pfalz (Platz 17),
"Backfisch, Markus Wilhelm",1973,BÜNDNIS21,Land Hessen (Platz 6),
"Backs, Arnim Jörg Daniel",1972,Die PARTEI,Land Nordrhein-Westfalen (Platz 31),
"Baddack, Sven",1967,Team Todenhöfer,Land Thüringen (Platz 3),
"Bader, Jürgen",1960,MLPD,"Wahlkreis 055
    und 
    Land Bremen (Platz 3)",
"Bader, Karl-Heinz",1954,dieBasis,Wahlkreis 041,
"Bader, Susanne Doris",1956,MLPD,Wahlkreis 021,
"Badum, Lisa Hildegard",1983,GRÜNE,"Wahlkreis 236
    und 
    Land Bayern (Platz 9)",
"Badura, Michael",1962,Tierschutzpartei,"Wahlkreis 142
    und 
    Land Nordrhein-Westfalen (Platz 3)",
"Baecker, Orson Lance",2001,Die PARTEI,"Wahlkreis 061
    und 
    Land Brandenburg (Platz 4)",
"Baehrens, Heike Charlotte",1955,SPD,"Wahlkreis 263
    und 
    Land Baden-Württemberg (Platz 13)",
"Baerbock, Annalena Charlotte Alma",1980,GRÜNE,"Wahlkreis 061
    und 
    Land Brandenburg (Platz 1)",
"Bahl, Sascha",1976,DIE LINKE,Wahlkreis 188,
"Bahr, Christian Holger",1971,dieBasis,Wahlkreis 036,
"Bahr, Ulrike Renate Martina",1964,SPD,"Wahlkreis 252
    und 
    Land Bayern (Platz 16)",
"Bahr-van Gemmert, Janine",1967,Tierschutzpartei,Land Schleswig-Holstein (Platz 6),
"Baldes, Franziska",1969,MLPD,Land Hamburg (Platz 8),
"Baldowski, Peter",1979,Die Humanisten,Land Bremen (Platz 8),
"Baldy, Daniel",1994,SPD,"Wahlkreis 205
    und 
    Land Rheinland-Pfalz (Platz 5)",
"Balint, Peter Michael",1950,dieBasis,Wahlkreis 129,
"Balke, Ralf Peter",1963,Die PARTEI,Land Bremen (Platz 19),
"Balog-Broschinski, Cornelia",1964,Tierschutzpartei,"Wahlkreis 054
    und 
    Land Bremen (Platz 1)",
"Balthasar-Schäfer, Stephanie",1968,CDU,Land Rheinland-Pfalz (Platz 23),
"Baltrusch, Michaela Laura",1959,BÜNDNIS21,Land Hamburg (Platz 3),
"Balzer, Siegfried Gert",1951,Internationalistisches Bündnis,Wahlkreis 025,
"Banaszak, Felix",1989,GRÜNE,"Wahlkreis 116
    und 
    Land Nordrhein-Westfalen (Platz 6)",
"Bandt, Mare",2003,Die Humanisten,Land Mecklenburg-Vorpommern (Platz 2),
"Bandte, Pius",1998,GRÜNE,"Wahlkreis 256
    und 
    Land Bayern (Platz 34)",
"Bangert, Christian Jürg",1972,LKR,Land Bayern (Platz 8),
"Bank, Frank Werner",1972,FREIE WÄHLER,Wahlkreis 090,
"Bank, Tobias",1985,DIE LINKE,"Wahlkreis 060
    und 
    Land Brandenburg (Platz 6)",
"Banse, Inger",1990,DiB,Land Rheinland-Pfalz (Platz 5),
"Bär, Dorothee Gisela Renate Maria",1978,CSU,"Wahlkreis 248
    und 
    Land Bayern (Platz 2)",
"Bär, Karl",1985,GRÜNE,"Wahlkreis 223
    und 
    Land Bayern (Platz 12)",
"Baradari, Nezahat",1965,SPD,"Wahlkreis 149
    und 
    Land Nordrhein-Westfalen (Platz 26)",
"Barckhan, Lea",2002,Volt,Land Schleswig-Holstein (Platz 7),
"Bareiß, Thomas",1975,CDU,Wahlkreis 295,
"Barimis, Michel",1987,MLPD,"Wahlkreis 244
    und 
    Land Bayern (Platz 5)",
"Bärmann, Simon",2002,DIE LINKE,Wahlkreis 284,
"Barrientos Krauss, Simone Anita",1963,DIE LINKE,"Wahlkreis 251
    und 
    Land Bayern (Platz 5)",
"Bärsch, Gerhard Walter",1988,AfD,Land Hessen (Platz 11),
"Barsch, Johannes",1994,SPD,Land Mecklenburg-Vorpommern (Platz 9),
"Barsuhn, Alexandra",1994,Volt,"Wahlkreis 211
    und 
    Land Rheinland-Pfalz (Platz 1)",
"Barsuhn, Detlef",1953,Volt,"Wahlkreis 200
    und 
    Land Rheinland-Pfalz (Platz 14)",
"Barta, Anna Carolin",2003,BÜRGERBEWEGUNG,Land Baden-Württemberg (Platz 8),
"Barta, Attila",1968,BÜRGERBEWEGUNG,Land Baden-Württemberg (Platz 26),
"Bartels, Alrich",1966,FREIE WÄHLER,Land Niedersachsen (Platz 3),
"Bartels, Erich",1952,DKP,Land Mecklenburg-Vorpommern (Platz 2),
"Bartels, Jonas",1995,Die Humanisten,Land Bremen (Platz 14),
"Bartels, Torsten",1967,dieBasis,"Wahlkreis 062
    und 
    Land Brandenburg (Platz 7)",
"Bartelt, Christian",1976,FDP,"Wahlkreis 016
    und 
    Land Mecklenburg-Vorpommern (Platz 2)",
"Barth, Birgit Monika",1972,CSU,Land Bayern (Platz 50),
"Barth, Daniel",1990,Die PARTEI,Wahlkreis 271,
"Barth, Thomas",1956,Internationalistische Liste,Wahlkreis 068,
"Bartholomé, Anna Monika",1949,Internationalistisches Bündnis,"Wahlkreis 203
    und 
    Land Rheinland-Pfalz (Platz 4)",
"Bartilla, Nico",1977,Tierschutzpartei,Land Sachsen (Platz 2),
"Dr. Bartke, Matthias",1959,SPD,"Wahlkreis 019
    und 
    Land Hamburg (Platz 4)",
"Bartmann, Ralf",1962,ÖDP,Land Nordrhein-Westfalen (Platz 24),
"Bartol, Sören",1974,SPD,"Wahlkreis 171
    und 
    Land Hessen (Platz 5)",
"Bartos, Kai",1975,dieBasis,Wahlkreis 030,
"Dr. Bartsch, Dietmar Gerhard",1958,DIE LINKE,"Wahlkreis 014
    und 
    Land Mecklenburg-Vorpommern (Platz 1)",
"Bartsch, Falko",1989,Die Humanisten,Land Nordrhein-Westfalen (Platz 3),
"Bartz, Alexander",1984,SPD,"Wahlkreis 032
    und 
    Land Niedersachsen (Platz 25)",
"Bartz, Robin",1992,Die PARTEI,Wahlkreis 107,
"Barutta, Bernhard Heinrich",1961,FREIE WÄHLER,Wahlkreis 271,
"Barz, Pascal",1998,FREIE WÄHLER,Land Rheinland-Pfalz (Platz 19),
"Barz, Sascha",1988,Die Humanisten,Land Mecklenburg-Vorpommern (Platz 5),
"Bas, Bärbel",1968,SPD,"Wahlkreis 115
    und 
    Land Nordrhein-Westfalen (Platz 12)",
"Bashir, Ahsan Kurt",1982,Team Todenhöfer,Land Baden-Württemberg (Platz 5),
"Basler, Uwe",1961,FREIE WÄHLER,Wahlkreis 267,
"Baßler, Ralf Hubert",1961,dieBasis,"Wahlkreis 272
    und 
    Land Baden-Württemberg (Platz 6)",
"Bäßler, Uwe Alfred",1964,BÜNDNIS21,Land Baden-Württemberg (Platz 18),
"Bastian, Eva Marianne",1959,CDU,Land Saarland (Platz 17),
"Bäthge, Christina Monika",1953,FREIE WÄHLER,Land Sachsen-Anhalt (Platz 13),
"Bauer, Anna",1989,Die PARTEI,Land Berlin (Platz 29),
"Bauer, Detlef",1960,AfD,Wahlkreis 125,
"Bauer, Emil Karl Eckehard",1953,MLPD,"Wahlkreis 252
    und 
    Land Bayern (Platz 3)",
"Bauer, Hans",1941,DKP,Land Berlin (Platz 1),
"Bauer, Helmut Richard Andreas",1959,Keine CO2-Steuer. WIEDERHERSTELLUNG unserer Grundrechte!,Wahlkreis 235,
"Bauer, Hubert",1960,MLPD,Wahlkreis 261,
"Bauer, Ingrid",1966,CDU,Land Baden-Württemberg (Platz 59),
"Bauer, Nicole Anna Elisabeth",1987,FDP,"Wahlkreis 228
    und 
    Land Bayern (Platz 7)",
"Bauer, Pia Maria",1980,Tierschutzpartei,Land Saarland (Platz 4),
"Bauer, Susanne Iris",1977,GRÜNE,"Wahlkreis 237
    und 
    Land Bayern (Platz 32)",
"Bauer, Tobias",1982,FREIE WÄHLER,"Wahlkreis 086
    und 
    Land Berlin (Platz 1)",
"Bauerle, Doris",1960,MLPD,Land Thüringen (Platz 12),
"Bäuerle, Peter Josef",1951,MLPD,Land Baden-Württemberg (Platz 23),
"Bäuerle, Verena",1965,AfD,Wahlkreis 273,
"Bauernfeind, Franca Helene",1998,CDU,Land Thüringen (Platz 9),
"Dr. Baum, Christina",1956,AfD,"Wahlkreis 276
    und 
    Land Baden-Württemberg (Platz 8)",
"Baum, Natalie",1983,CDU,Land Rheinland-Pfalz (Platz 36),
"Dr. Baumann, Bernd",1958,AfD,"Wahlkreis 019
    und 
    Land Hamburg (Platz 1)",
"Baumann, Clara Luisa",1989,Die PARTEI,"Wahlkreis 170
    und 
    Land Hessen (Platz 14)",
"Baumann, Jörg Anton",1981,AfD,Wahlkreis 247,
"Baumann-Duderstaedt, Carsten",1959,Die PARTEI,Land Bremen (Platz 5),
"Baumanns, Lara",1999,KLIMAgerechtigkeitsLISTE,Wahlkreis 106,
"Baumeister, Mark",1975,DIE LINKE,Wahlkreis 296,
"Bäumer, Jürgen",1953,DKP,Land Nordrhein-Westfalen (Platz 20),
"Baumert, Alwin",1965,dieBasis,Wahlkreis 232,
"Baumgart, Frank Walter Wilhelm",1967,Bündnis C,Land Hessen (Platz 13),
"Baumgarten, Louisa-Bärbel",1984,SPD,Land Niedersachsen (Platz 60),
"Baumgärtner, Ingrid",1997,Team Todenhöfer,Land Bremen (Platz 3),
"Baumgartner, Ludwig",1978,DIE LINKE,Wahlkreis 240,
"Baumgartner, Roman Albert",1982,CDU,Land Baden-Württemberg (Platz 14),
"Baums, Carsten",1968,PIRATEN,"Wahlkreis 176
    und 
    Land Hessen (Platz 6)",
"Baur, Konrad Michael",1988,CSU,Land Bayern (Platz 25),
"Baur, Mathias Eduard Josef",1990,FDP,Land Bayern (Platz 50),
"Baureis, Ralf",1962,FREIE WÄHLER,Land Saarland (Platz 11),
"Dr. Bausch, Ulrich Matthias",1959,SPD,"Wahlkreis 289
    und 
    Land Baden-Württemberg (Platz 35)",
"Bause, Margarete Herta Maria",1959,GRÜNE,Land Bayern (Platz 22),
"Bausemer, Arno",1982,AfD,"Wahlkreis 066
    und 
    Land Sachsen-Anhalt (Platz 3)",
"Baydar, Sami",1991,Internationalistische Liste,"Wahlkreis 253
    und 
    Land Bayern (Platz 4)",
"Bayer, Daniel Rene",1996,FDP,"Wahlkreis 243
    und 
    Land Bayern (Platz 38)",
"Bayer, Martin",1966,www.zeitkaufhaus.de Martin Bayer,Wahlkreis 152,
"Bayer, Roland Peter",1977,BP,"Wahlkreis 235
    und 
    Land Bayern (Platz 7)",
"Bayram, Canan",1966,GRÜNE,Wahlkreis 083,
"Bäz, Antje",1972,dieBasis,Land Sachsen (Platz 5),
